Hex signature,Extension,Description
47 49 46 38 37 61 47 49 46 38 39 61,gif,Image file encoded in the Graphics Interchange Format (GIF)[9]
49 49 2A 00 (little-endian),tif tiff,Tagged Image File Format (TIFF)[10]
4D 4D 00 2A (big-endian),tif tiff,Tagged Image File Format (TIFF)[10]
49 49 2B 00 (little-endian),tif tiff,BigTIFF[11]
4D 4D 00 2B (big-endian),tif tiff,BigTIFF[11]
FF D8 FF DB,jpg jpeg,JPEG raw or in the JFIF or Exif file format[17]
FF D8 FF E0 00 10 4A 46  49 46 00 01,jpg jpeg,JPEG raw or in the JFIF or Exif file format[17]
FF D8 FF EE,jpg jpeg,JPEG raw or in the JFIF or Exif file format[17]
FF D8 FF E0,jpg,JPEG raw or in the JFIF or Exif file format[17]
4D 5A,exe dll mui sys scr cpl ocx ax iec ime rs tsp fon efi,DOS MZ executable and its descendants (including NE and PE)
5A 4D,exe,DOS ZM executable and its descendants (rare)
50 4B 03 04 50 4B 05 06 (empty archive) 50 4B 07 08 (spanned archive),zip aar apk docx epub ipa jar kmz maff msix odp ods odt pk3 pk4 pptx usdz vsdx xlsx xpi whl,"zip file format and formats based on it, such as EPUB, JAR, ODF, OOXML"
52 61 72 21 1A 07 00,rar,Roshal ARchive compressed archive v1.50 onwards[23]
52 61 72 21 1A 07 01 00,rar,Roshal ARchive compressed archive v5.00 onwards[24]
89 50 4E 47 0D 0A 1A 0A,png,Image encoded in the Portable Network Graphics format[26]
EF BB BF,txt others,"UTF-8 byte order mark, commonly seen in text files.[28][29][30]"
FF FE,txt others,"UTF-16LE byte order mark, commonly seen in text files.[28][29][30]"
FE FF,txt others,"UTF-16BE byte order mark, commonly seen in text files.[28][29][30]"
FF FE 00 00,txt others,UTF-32LE byte order mark for text[28][30]
00 00 FE FF,txt others,UTF-32BE byte order mark for text[28][30]
0E FE FF,txt others,SCSU byte order mark for text[31][30]
25 50 44 46 2D,pdf,PDF document[36]
30 26 B2 75 8E 66 CF 11  A6 D9 00 AA 00 62 CE 6C,asf wma wmv,Advanced Systems Format[37]
4F 67 67 53,ogg oga ogv,"Ogg, an open source media container format"
FF FB FF F3 FF F2,mp3,MPEG-1 Layer 3 file without an ID3 tag or with an ID3v1 tag (which is appended at the end of the file)
49 44 33,mp3,MP3 file with an ID3v2 container
42 4D,bmp dib,"BMP file, a bitmap format used mostly in the Windows world"
66 4C 61 43,flac,Free Lossless Audio Codec[42]
D0 CF 11 E0 A1 B1 1A E1,doc xls ppt msi msg,"Compound File Binary Format, a container format defined by Microsoft COM. It can contain the equivalent of files and directories. It is used by Windows Installer and for documents in older versions of Microsoft Office.[44] It can be used by other programs as well that rely on the COM and OLE API's. (0xD0CF11E0 visually resembles ""DOCFILE"".[45])"
75 73 74 61 72 00 30 30 75 73 74 61 72 20 20 00,tar,tar archive[57]
37 7A BC AF 27 1C,7z,7-Zip File Format
1F 8B,gz tar.gz,GZIP compressed file[61]
1A 45 DF A3,mkv mka mks mk3d webm,"Matroska media container, including WebM"
7B 5C 72 74 66 31,rtf,Rich Text Format
66 74 79 70 69 73 6F 6D,mp4,ISO Base Media file (MPEG-4)
66 74 79 70 4D 53 4E 56,mp4,MPEG-4 video file
0D 44 4F 43,doc,DeskMate Document file
